wine_name,sweetness,country_name,vintage_count,ratings_count
Vigna del Suolo Brunello di Montalcino,1.6411891,Italie,1,201
Vite Talin Barolo,1.3438305,Italie,1,131
RWT Bin 798 Shiraz,2.0449593,Australie,1,1975
Barolo Arione,1.5432729,Italie,4,259
Grenache,1.5,États-Unis,1,34
Rosso,1.654492,Italie,2,88
Charity Edition Nebbiolo d'Alba Arione,1.066544,Italie,1,29
Nuits-Saint-Georges 1er Cru 'Aux Murgers',1.725,France,1,40
Gallina Barbaresco,1.2867978,Italie,1,219
Terrasse à l'Ombre Côtes du Rhône,1.8009534,France,1,819
Lithology Cabernet Sauvignon,1.734915,États-Unis,1,148
Glesie Climat,1.7010001,Italie,2,37
Petrucci Melo,1.5702454,Italie,1,61
Oh Carlos Manuel! Tinto,2.098028,Portugal,1,58
Boghis Climat,2.062,Italie,2,27
Giunonico Riserva Primitivo di Manduria,3.0336692,Italie,1,460
Fossati Barolo,1.1170666,Italie,1,116
Ipsus Chianti Classico Gran Selezione,1.3114364,Italie,1,185
Old Vines Malbec,2.0272782,Argentine,1,667
Cannubi Barolo,1.5637833,Italie,1,82
Bentrock Vineyard Chardonnay,2.5057693,États-Unis,1,118
Barbaresco Albesani,1.2030022,Italie,1,183
Los Jabalíes Single Vineyard Malbec,2.2312756,Argentine,1,284
Red Blend,1.3864021,États-Unis,1,457
Étoile Rosé,1.3876698,France,2,183
Dieci Brunello di Montalcino,1.0,Italie,1,43
Fleur de Miraval Exclusivement Rosé Champagne,,France,1,304
EABA,2.0294268,États-Unis,1,151
Petracs Furmint,1.8436364,Hongrie,1,200
Todeschini Distique Saint-Émilion Grand Cru,1.7351134,France,2,185
Trittenheimer Apotheke,1.8302392,Allemagne,1,27
Ligne de Crete Les Grandes Vignes Hermitage,1.631081,France,2,76
Os Paulistas Chão dos Eremitas Vinhas Velhas,1.7124717,Portugal,1,334
Tinto,2.1377509,Espagne,1,803
Duna Mirante Primitivo di Manduria,2.53,Italie,1,96
Crescendo,1.6301999,Afrique du Sud,1,1347
Triglia Negroamaro Rosato,1.8206863,Italie,1,278
Batard-Montrachet Grand Cru,1.9094286,France,1,34
Luminaria Primitivo di Manduria,2.9457364,Italie,1,563
Vieilles Vignes La Parcelle 8 Apalta,1.3568329,Chili,1,184
Single Barrel Champagne Grand Cru 'Le Mesnil-sur-Oger',,France,1,34
Tinto,1.2881361,Espagne,1,203
Grande Cuvée Luigi Moio,1.1800001,Italie,3,80
Vinha dos Utras,1.3387866,Portugal,1,65
Tinto,1.8986242,Espagne,2,585
802.A Superblend,1.6371841,Australie,1,66
Clos Le Léon Dizy Champagne,,France,1,53
Rocche di Castiglione Barolo,1.4408801,Italie,1,131
Elevage Branco,1.3070526,Portugal,1,53
Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore,2.0241096,Italie,1,94
Academia Purcari Rară Neagră,,Moldavie,1,73
Paralupi Appassimento,2.8846805,Italie,1,575
Collection Fût de Chêne Brut Champagne Grand Cru 'Ay',,France,1,58
