wine_name,sweetness,country_name,vintage_count,ratings_count
Barolo Rocche di Castiglione,1.8186307,Italie,1,1272
Barolo Riserva Villero,1.8434756,Italie,1,803
Brunello di Montalcino,1.901532,Italie,2,4357
Cepparello Red,1.694051,Italie,2,12191
Brunello di Montalcino  Montosoli,1.6366605,Italie,3,6176
Réservé Châteauneuf-du-Pape,2.285097,France,1,297
Finca Bella Vista Malbec,2.19353,Argentine,2,7663
Quarz Sauvignon,2.2572174,Italie,4,8884
Gewürztraminer Lunare,2.9494374,Italie,1,2732
Crichet Pajè Barbaresco,1.594002,Italie,1,584
Belle Epoque Brut Champagne,,France,2,20992
Corton Grand Cru 'Clos Rognet',2.1525695,France,1,543
Pauillac (Grand Cru Classé),1.6272988,France,3,55808
Saint-Julien (Grand Cru Classé),1.6095014,France,2,32627
Barolo Cerretta,1.4805793,Italie,1,1921
Charmes-Chambertin Grand Cru,1.989472,France,1,268
Vintage,,France,3,16918
Rosé,,France,1,3605
Collection,,France,3,2184
Clos du Mesnil,,France,3,2471
Pauillac (Grand Cru Classé),1.6924607,France,4,37460
Flor de Pingus,1.8319775,Espagne,2,32932
Cuvée Nicolas François Billecart Brut Champagne,,France,1,6228
La Grande Dame Brut Champagne,,France,1,17474
Calcarole Amarone della Valpolicella Classico,3.4144526,Italie,1,2757
Chambertin Grand Cru,1.7190468,France,1,1293
Montrachet Grand Cru,2.0329998,France,1,516
Barolo Riserva Vigna Rionda,1.6849188,Italie,2,3530
Saint-Estèphe (Grand Cru Classé),1.6222875,France,4,35624
Vintage Port Nacional,4.6771097,Portugal,1,1122
Cerretalto Brunello di Montalcino,1.7550168,Italie,6,5373
Saint-Julien (Grand Cru Classé),1.6340022,France,6,28094
Pomerol,1.6747634,France,3,10374
Turriga Isola dei Nuraghi,2.4437344,Italie,1,14641
Barolo Riserva Monfortino,1.8228105,Italie,2,5013
Barbera d'Alba Vigna Francia,1.6760427,Italie,2,7315
Barolo Cascina Francia,1.6290693,Italie,8,6045
Barbaresco Gaiun Martinenga,1.7287655,Italie,1,2298
Pessac-Léognan (Grand Cru Classé de Graves),1.6842046,France,3,27316
Saffredi,1.8776495,Italie,2,10499
Brunello di Montalcino Riserva,1.650779,Italie,16,3375
Corton-Charlemagne Grand Cru,1.629022,France,3,10296
Clos des Porrets Nuits-Saint-Georges 1er Cru,1.5853559,France,1,3063
Brunello di Montalcino,1.6460528,Italie,3,7883
Bonnes-Mares Grand Cru,1.929253,France,2,2595
Luce,1.7797035,Italie,3,17470
Luce Brunello di Montalcino,1.7594243,Italie,2,6544
Clos des Goisses Champagne,,France,2,4662
Romanée-Saint-Vivant Grand Cru (Marey-Monge),1.9145561,France,3,6597
Amarone della Valpolicella Classico,3.31935,Italie,2,8900
Valpolicella Classico Superiore,2.1406128,Italie,2,12262
Veneto Rosso del Bepi,2.4127154,Italie,3,3747
Amarone Stella,2.9613268,Italie,3,533
Pedro Ximenez Tradición 20 Years Old Vos,4.6604476,Espagne,1,954
Clos des Lambrays Grand Cru,1.7482635,France,6,6431
Chevalier-Montrachet Grand Cru,2.0061862,France,1,2340
Clos de la Roche Grand Cru Cuvée Vieilles Vignes,1.896809,France,7,2678
Brunello di Montalcino,1.641485,Italie,1,8356
Barolo Cannubi,1.4632843,Italie,1,1852
Barolo Cerequio,1.6345333,Italie,1,3839
Charmes-Chambertin Grand Cru,1.8818123,France,3,709
Brut Champagne,,France,5,146377
Scharzhofberger Riesling Kabinett,2.31888,Allemagne,2,3047
Scharzhofberger Riesling Spätlese,2.6068308,Allemagne,2,1564
Buisson Renard,1.5200801,France,1,2119
Rocche di Castiglione Barolo,1.5060189,Italie,1,2397
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,1.6047927,États-Unis,1,1557
Gallina Barbaresco,1.6368595,Italie,2,1017
Châteauneuf-du-Pape,2.080589,France,9,7544
Châteauneuf-du-Pape Réservé Blanc,1.9536152,France,1,668
Bolgheri Superiore,1.6885566,Italie,2,14242
Tessons Clos de Mon Plaisir Meursault,1.8588678,France,1,761
Chambertin Grand Cru,1.904137,France,2,3401
Barbaresco Rabajà,1.5450536,Italie,2,5469
Harimann Montepulciano d'Abruzzo,1.7084829,Italie,2,1086
Côte à Côte Estate,1.6764214,États-Unis,1,1133
Amarone della Valpolicella Monte Lodoletta,3.3512034,Italie,13,7947
Valpolicella Superiore Monte Lodoletta,2.3023562,Italie,5,13024
Recioto della Valpolicella (Monte Lodoletta),,Italie,3,227
L'Apparita,1.8096386,Italie,10,3836
Pommard 1er Cru Les Rugiens-Bas,1.7258958,France,1,592
Calle Merlot Rosso Veronese,2.4370124,Italie,1,1053
Bonnes Mares Grand Cru,1.7079902,France,2,452
Beyond the Clouds,2.3078306,Italie,1,4760
Barolo Ciabot Mentin Ginestra,1.6148766,Italie,1,3525
Cabernet Sauvignon Coeur De Vallée,1.5982896,États-Unis,1,544
Percarlo,1.7772601,Italie,2,4808
La Ricolma,1.7745955,Italie,1,1525
Lupicaia,1.7940733,Italie,5,4414
Cabernet Sauvignon,1.5403899,États-Unis,6,3087
Pomerol,1.6924726,France,1,11885
Nebro Ribera del Duero,1.6623546,Espagne,1,647
L'Extravagant de Doisy-Daëne Sauternes,4.980402,France,4,465
Les Manyes,1.6663749,Espagne,1,924
Bonnes-Mares Grand Cru,2.1367705,France,2,1208
La Grande Rue Grand Cru Monopole,1.8830159,France,3,1496
Chambolle-Musigny Premier Cru Les Charmes,2.0298634,France,1,364
Brunello di Montalcino,1.8619267,Italie,4,2623
La Cueva del Contador Rioja,1.897477,Espagne,2,4013
Contador Rioja,1.7535176,Espagne,3,2240
Maya,1.8834581,États-Unis,2,1570
Finca Garbet,1.7993909,Espagne,1,573
Quincha Corral,1.7725737,Espagne,1,1230
Rioja Reserva,1.6925775,Espagne,1,13544
Trasnocho,1.871458,Espagne,3,3399
Chambolle-Musigny,1.8960234,France,1,3455
Clos de la Coulée de Serrant,1.8554152,France,1,8365
Cuvée Madame Barsac,4.910492,France,1,94
Clos de L'Obac,1.709223,Espagne,1,2588
Miserere,1.507604,Espagne,1,1392
Pomerol,1.6647604,France,2,13504
Vosne-Romanée 1er Cru 'Aux Malconsorts',1.7638865,France,2,681
Brunello di Montalcino,1.6434323,Italie,1,5596
Brunello di Montalcino Riserva,1.5341303,Italie,2,665
Vin de Pays de l'Hérault,1.8121092,France,6,8933
Cuvée Impériale Châteauneuf-du-Pape,1.6785597,France,2,1881
Charmes-Chambertin Grand Cru,1.4393288,France,1,359
Chassagne-Montrachet Premier Cru 'Morgeot' Blanc,1.9206604,France,1,1701
Pomerol,1.6839123,France,7,7221
Saint-Joseph,1.601572,France,1,3931
L'Hermitage,1.64957,France,1,8592
Pomerol,1.801,France,6,12214
Vecchie Vigne Brunello di Montalcino,1.6577264,Italie,1,3868
Vosne-Romanée,1.9310017,France,1,1030
Pomerol,1.7766465,France,5,3509
Chassagne-Montrachet 1er Cru 'La Maltroie',1.522193,France,1,779
Chateauneuf-du-Pape Réserve des Célestins,2.0052009,France,2,1633
Pomerol,1.763,France,2,3377
Toscana Il Pareto,1.8636947,Italie,1,3195
Brunello di Montalcino Riserva,1.5033569,Italie,1,1825
Saint-Émilion Grand Cru,1.9018394,France,1,1527
Les Grandes Places Côte-Rôtie,1.984394,France,2,1316
La Nieta,2.0053296,Espagne,1,4508
Vosne-Romanée Premier Cru Aux Reignots,1.9560068,France,4,645
Le Bourg Saumur Champigny,2.005911,France,3,1264
Les Poyeux Saumur Champigny,2.2080355,France,2,2005
Continuum Estate,1.7110485,États-Unis,4,6949
Charmes-Chambertin Grand Cru,1.9073772,France,1,277
Trebbiano d'Abruzzo,2.2671382,Italie,1,5834
