wines_name,countries_name,vintages_count,wines_ratings_count,wines_ratings_count,wines_acidity
Aquilon Garnacha,Espagne,1,1343,4.6,3.093791
Ampio,Italie,1,481,4.6,3.1355183
Almaviva,Chili,3,48075,4.6,3.0401866
Alabaster,Espagne,2,2708,4.6,2.7305465
Aegusa,Italie,2,81,4.6,
Adrianna Vineyard Mundus Bacillus Terrae Malbec,Argentine,3,1358,4.6,2.8717265
A50 Amarone della Valpolicella,Italie,1,100,4.6,2.0425925
888 Pinotage Gold,Afrique du Sud,1,234,4.6,2.7733798
40 Anos Tawny Port,Portugal,1,57,4.6,3.1503105
'Giulio Ferrari' Riserva del Fondatore,Italie,10,12592,4.6,3.3285792
Étoile Rosé,France,2,183,4.5,3.7696438
Zeltinger Sonnenuhr Beerenauselese Riesling,Allemagne,1,49,4.5,4.3747597
Yarden Katzrin,Israël,1,894,4.5,2.9386032
Vosne-Romanée Premier Cru Les Petits Monts,France,1,105,4.5,4.132008
Vosne-Romanée 1er Cru Aux Malconsorts Christiane,France,1,309,4.5,4.068446
Vosne-Romanée 1er Cru 'Aux Malconsorts',France,2,681,4.5,4.2401404
Vite Talin Barolo,Italie,1,131,4.5,4.605494
Vintage Port,Portugal,3,2614,4.5,2.8633018
Vinhas Velhas Tinto,Portugal,1,736,4.5,2.9712174
Vinha dos Utras,Portugal,1,65,4.5,3.6303763
Vin de Pays de l'Hérault,France,6,8933,4.5,3.696465
Vin de Paille,France,2,35,4.5,
Vigna del Suolo Brunello di Montalcino,Italie,1,201,4.5,3.786483
Vigna Grande Cerzito Taurasi Riserva,Italie,2,581,4.5,2.5461802
Vieux Marc de Bandol,France,1,102,4.5,
Vieilles Vignes Mazis-Chambertin Grand Cru,France,2,218,4.5,4.1207047
Vieille Vigne Griottes-Chambertin Grand Cru,France,1,257,4.5,4.1788754
Valpolicella Superiore Monte Lodoletta,Italie,5,13024,4.5,3.5089638
Valpolicella Classico Superiore,Italie,2,12262,4.5,3.468134
VV 26 Blanc de Blancs Vieilles Vignes Grand Cru Brut,France,1,314,4.5,4.2405767
Trittenheimer Apotheke,Allemagne,1,27,4.5,4.5442586
Trasnocho,Espagne,3,3399,4.5,3.7219884
Tourmaline Pomerol,France,1,237,4.5,3.317743
Toscana Rosso,Italie,5,2799,4.5,3.1433663
Toscana Bianco,Italie,1,833,4.5,3.8539917
Tokaji Aszú 5 Puttonyos,Hongrie,4,5449,4.5,4.960792
Tignanello,Italie,16,142513,4.5,3.082814
The Stork,Afrique du Sud,1,1638,4.5,3.364303
The Armagh Shiraz,Australie,1,2472,4.5,3.073255
Terrasse à l'Ombre Côtes du Rhône,France,1,819,4.5,3.4413016
Tenuta Nuova Brunello di Montalcino,Italie,5,20934,4.5,3.820147
Tenuta Guado al Tasso Bolgheri Superiore,Italie,4,33392,4.5,3.4173176
Son Negre,Espagne,1,521,4.5,3.1135416
Silex,France,2,8386,4.5,3.982279
Series C,Afrique du Sud,3,3027,4.5,3.6215973
Sed de Caná,Espagne,2,345,4.5,3.3869867
S.L.V. Cabernet Sauvignon,États-Unis,1,6560,4.5,3.4074993
Rujno Rosso,Italie,3,532,4.5,2.5459697
Rosso,Italie,2,88,4.5,3.0058823
Romanée-Saint-Vivant Grand Cru,France,4,463,4.5,4.264476
Rocche dell'Annunziata Torriglione Barolo,Italie,1,1222,4.5,4.6348357
Rocche dell'Annunziata Barolo Riserva,Italie,1,1609,4.5,4.720542
Rocche dell'Annunziata Barolo,Italie,2,218,4.5,4.4050417
Riserva vecchie viti dei Capalot e delle Brunate Barolo,Italie,1,338,4.5,4.6662955
Riesling 'Le Gallais' Wiltinger Braune Kupp Auslese,Allemagne,2,242,4.5,4.801955
Richebourg Grand Cru,France,2,1296,4.5,4.2243257
Ribera del Duero,Espagne,1,69278,4.5,3.6902692
Reserve Chardonnay,Afrique du Sud,1,396,4.5,3.5544543
Relentless,États-Unis,1,6633,4.5,3.0464847
Regina del Bosco R.Quarantottomesi,Italie,1,109,4.5,3.1082141
Redigaffi Toscana,Italie,14,5212,4.5,3.0276775
