wines_name,countries_name,vintages_count,wines_ratings_count,wines_ratings_count,wines_acidity
Montepulciano d'Abruzzo,Italie,8,10110,4.2,3.902051
Margaux (Grand Cru Classé),France,1,15699,4.2,4.198862
Malbec,Argentine,1,33640,4.2,2.717778
Linticlarus Lagrein Riserva,Italie,1,1387,4.2,2.468318
La Ricolma,Italie,1,1525,4.2,3.1633458
La Chapelle de La Mission Haut-Brion Pessac-Léognan,France,1,6754,4.2,4.1492968
Kevin Arnold Shiraz,Afrique du Sud,1,6987,4.2,3.2652426
Cuvée Kermesse Rosso,Italie,1,1153,4.2,2.518945
Cuvée Extase Blanc de Blancs Champagne Grand Cru,France,1,231,4.2,4.2562604
Cresasso Corvina Veronese,Italie,1,2333,4.2,2.2652118
Conde de Superunda,Chili,1,3237,4.2,
Colheita Port,Portugal,1,8039,4.2,3.0321395
Châteauneuf-du-Pape Chaupin,France,1,4483,4.2,3.0871341
Chambolle-Musigny Les Baudes,France,1,525,4.2,4.360476
Chafandin,Espagne,1,2570,4.2,3.8019114
Carabantes Syrah,Chili,1,4523,4.2,2.6460416
Bolgheri Superiore Sondraia,Italie,1,12843,4.2,3.4810367
Amarone Della Valpolicella Marta Galli,Italie,1,1085,4.2,2.306526
Aile d'Argent Blanc Bordeaux,France,1,4790,4.2,2.8267791
Nuits-Saint-Georges 1er Cru Les Damodes,France,1,793,4.1,4.160488
Clos des Porrets Nuits-Saint-Georges 1er Cru,France,1,3063,4.1,4.1547327
Capellanía Reserva,Espagne,1,7314,4.1,3.2488387
