Wines,Country,Reviews,Rating
Rocche di Castiglione Barolo,Italie,2397,4.3
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,États-Unis,1557,4.6
Gallina Barbaresco,Italie,1017,4.4
Châteauneuf-du-Pape,France,7544,4.7
Châteauneuf-du-Pape Réservé Blanc,France,668,4.4
Bolgheri Superiore,Italie,14242,4.3
Tessons Clos de Mon Plaisir Meursault,France,761,4.4
Chambertin Grand Cru,France,3401,4.7
Barbaresco Rabajà,Italie,5469,4.3
Harimann Montepulciano d'Abruzzo,Italie,1086,4.4
Côte à Côte Estate,États-Unis,1133,4.4
Amarone della Valpolicella Monte Lodoletta,Italie,7947,4.7
Valpolicella Superiore Monte Lodoletta,Italie,13024,4.5
Recioto della Valpolicella (Monte Lodoletta),Italie,227,4.6
L'Apparita,Italie,3836,4.4
Pommard 1er Cru Les Rugiens-Bas,France,592,4.3
Calle Merlot Rosso Veronese,Italie,1053,4.4
Bonnes Mares Grand Cru,France,452,4.4
Beyond the Clouds,Italie,4760,4.4
Barolo Ciabot Mentin Ginestra,Italie,3525,4.3
Cabernet Sauvignon Coeur De Vallée,États-Unis,544,4.6
Percarlo,Italie,4808,4.3
La Ricolma,Italie,1525,4.2
Lupicaia,Italie,4414,4.4
Cabernet Sauvignon,États-Unis,3087,4.5
Pomerol,France,11885,4.3
Nebro Ribera del Duero,Espagne,647,4.4
L'Extravagant de Doisy-Daëne Sauternes,France,465,4.6
Les Manyes,Espagne,924,4.4
Bonnes-Mares Grand Cru,France,1208,4.5
La Grande Rue Grand Cru Monopole,France,1496,4.4
Chambolle-Musigny Premier Cru Les Charmes,France,364,4.4
Brunello di Montalcino,Italie,2623,4.5
La Cueva del Contador Rioja,Espagne,4013,4.3
Contador Rioja,Espagne,2240,4.6
Maya,États-Unis,1570,4.6
Finca Garbet,Espagne,573,4.6
Quincha Corral,Espagne,1230,4.4
Rioja Reserva,Espagne,13544,4.4
Trasnocho,Espagne,3399,4.5
Chambolle-Musigny,France,3455,4.3
Clos de la Coulée de Serrant,France,8365,4.3
Cuvée Madame Barsac,France,94,4.5
Clos de L'Obac,Espagne,2588,4.4
Miserere,Espagne,1392,4.3
Pomerol,France,13504,4.4
Vosne-Romanée 1er Cru 'Aux Malconsorts',France,681,4.5
Brunello di Montalcino,Italie,5596,4.3
Brunello di Montalcino Riserva,Italie,665,4.5
Vin de Pays de l'Hérault,France,8933,4.5
Cuvée Impériale Châteauneuf-du-Pape,France,1881,4.3
Charmes-Chambertin Grand Cru,France,359,4.4
Chassagne-Montrachet Premier Cru 'Morgeot' Blanc,France,1701,4.4
Pomerol,France,7221,4.4
Saint-Joseph,France,3931,4.3
L'Hermitage,France,8592,4.6
