Wines,Rating,Reviews,Natural,Vintage Rating
Château de Cîteaux Meursault 1er Cru 'Charmes' Blanc,4.4,368,0,0.0
Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe,4.4,2077,0,4.5
Châteauneuf-du-Pape,4.7,7544,0,4.566666666666666
Châteauneuf-du-Pape Amiral G,4.5,536,0,4.6
Châteauneuf-du-Pape Chaupin,4.2,4483,0,4.4
Châteauneuf-du-Pape Réservé Blanc,4.4,668,0,4.6
Ciliegio Amarone della Valpolicella,4.5,76,0,0.0
Cinque Autoctoni Collection Limited Release,4.4,4281,0,4.4
Cirsion Rioja,4.6,3474,0,2.25
Clio,4.5,24553,0,4.5
Clos Apalta,4.6,23256,0,4.6
Clos Le Léon Dizy Champagne,4.5,53,0,4.5
Clos Saint Denis Grand Cru,4.4,474,0,0.0
Clos Saint-Denis Grand Cru,4.6,40,0,0.0
Clos Sainte Hune Riesling Alsace,4.5,4106,0,4.525
Clos Vougeot Grand Cru,4.4,1202,0,0.9
Clos de Bèze Grand Cru,4.5,635,1,0.0
Clos de L'Obac,4.4,2588,0,4.6
Clos de Tart Grand Cru,4.6,214,0,0.0
Clos de Tart Grand Cru Monopole,4.5,4948,0,4.699999999999999
Clos de Vougeot,4.4,608,1,0.0
Clos de Vougeot Grand Cru,4.3,467,0,4.5
Clos de la Coulée de Serrant,4.3,8365,1,4.4
Clos de la Roche Grand Cru,4.4,429,0,0.0
Clos de la Roche Grand Cru Cuvée Vieilles Vignes,4.4,2678,0,3.2142857142857144
Clos des Goisses Champagne,4.5,4662,0,0.0
Clos des Lambrays Grand Cru,4.4,6431,0,4.45
Clos des Porrets Nuits-Saint-Georges 1er Cru,4.1,3063,0,4.4
Clos du Mesnil,4.7,2471,0,4.766666666666667
Colheita Port,4.2,8039,0,4.5
Colheita Porto,4.4,741,0,4.5
Colheita Porto Branco,4.6,65,0,4.6
Collection,4.7,2184,0,4.666666666666667
Collection Fût de Chêne Brut Champagne Grand Cru 'Ay',4.5,58,0,0.0
Collection Vintage 2000 Brut,4.6,58,0,4.7
Collina Rionda di Serralunga Barolo,4.5,156,0,0.0
Colore Toscana,4.4,1415,0,4.4
Comtes de Champagne Blanc de Blancs,4.5,27449,0,4.5
Conde de Superunda,4.2,3237,0,4.5
Contador Rioja,4.6,2240,0,4.6000000000000005
Conteisa Langhe,4.5,2295,0,4.5
Continuum Estate,4.6,6949,0,4.625
Corte di Cama Sforzato di Valtellina,4.3,3211,0,4.4
Corton Grand Cru 'Clos Rognet',4.4,543,0,0.0
Corton-Bressandes Grand Cru,4.4,861,0,0.0
Corton-Charlemagne Grand Cru,4.4,10296,0,2.1631578947368424
Corton-Charlemagne Grand Cru Blanc,4.4,2453,0,0.0
Cos d'Estournel,4.4,43704,0,3.7000000000000006
Cosimo Varvaglione Collezione Privata Negroamaro del Salento,4.3,826,0,4.4
Cosimo Varvaglione Collezione Privata Primitivo di Manduria,4.5,5016,0,4.4
Costa Russi (Barbaresco) Langhe,4.6,2876,0,4.05
Costasera Amarone della Valpolicella Classico,4.3,93397,0,4.4
Coteau de Vernon Condrieu,4.5,2015,0,0.0
Cream Tradición Vos 20 Years,4.4,623,0,4.4
Cresasso Corvina Veronese,4.2,2333,0,4.4
Crescendo,4.3,1347,0,4.4
Crichet Pajè Barbaresco,4.5,584,1,0.0
Cristal Brut Champagne (Millésimé),4.6,42456,0,4.642857142857143
Cristal Rosé Brut Champagne (Millésimé),4.6,5883,0,4.7
Cristal Rosé Vinothèque,4.8,88,0,0.0
Cristal Vinothèque,4.7,426,0,2.4
Croce Del Gal Riserva Amarone della Valpolicella Classico,4.6,188,0,0.0
Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),4.6,149,0,4.6
Cuvée Annamaria Clementi (Extra Brut),4.5,7928,0,4.466666666666667
Cuvée Ernest Riesling Alsace Sélection de Grains Nobles,4.5,68,0,4.5
Cuvée Extase Blanc de Blancs Champagne Grand Cru,4.2,231,0,4.5
Cuvée Impériale Châteauneuf-du-Pape,4.3,1881,0,4.4
Cuvée Kermesse Rosso,4.2,1153,0,4.4
Cuvée Madame Barsac,4.5,94,0,0.0
Cuvée N Viñas Viejas,4.5,263,0,0.0
Cuvée Nicolas François Billecart Brut Champagne,4.5,6228,0,4.4
Cuvée Risleus Brut Champagne Premier Cru,4.4,415,0,4.4
Cuvée des Cadettes Châteauneuf-du-Pape,4.4,3283,0,4.5
Cuvée des Enchanteleurs Brut Champagne,4.5,1732,0,4.65
Cuvée des Hussards Vieilles Vignes Brut Champagne Premier Cru,4.5,47,0,0.0
Cà Bertoldi Amarone della Valpolicella Classico,4.3,3708,0,4.5
Côte Rôtie La Brocarde,4.4,278,0,0.0
Côte à Côte Estate,4.4,1133,0,0.0
Côte-Rôtie,4.4,7177,0,4.4
Côte-Rôtie La Landonne,4.6,4068,0,4.6
Côte-Rôtie La Mouline,4.6,4380,0,3.45
Côte-Rôtie La Turque,4.6,4891,0,4.625
Côtes de Bourg,4.4,8249,0,2.25
Côtes du Rhône,4.3,8196,0,4.4
Cěrǎsum Riserva Amarone della Valpolicella,4.4,460,0,0.0
Dagromis Barolo,4.3,20685,0,4.4
Dalmau Rioja,4.4,7868,0,4.5
Darmagi Langhe,4.5,3184,0,3.425
De Buris Amarone della Valpolicella Classico Riserva,4.7,574,0,4.6
Delicado Cosecha Pedro Ximénez,4.4,870,0,4.5
Denarius Graves,4.5,129,0,2.3
Dieci Brunello di Montalcino,4.6,43,0,4.6
Dogs of the Barossa Shiraz,4.4,264,0,0.0
Dolç de L'Obac,4.4,440,0,0.0
Dom Ruinart Blanc de Blancs Brut Champagne,4.5,18466,0,4.6
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes,4.3,875,0,4.5
Domaine des Tourettes Hermitage Rouge,4.3,3806,0,4.4
Dominus (Christian Moueix),4.5,22117,0,4.7
Domus Aurea Cabernet Sauvignon,4.4,9603,0,4.4
Don PX Convento Selección,4.7,1224,0,2.35
Don PX Selección,4.5,326,0,4.55
Dona Ermelinda Grande Reserva,4.4,933,0,4.4
Douro,4.4,6214,0,4.5
Douro Pintas Tinto,4.5,4167,0,4.55
Douro Quinta da Manoella VV Tinto,4.3,2548,0,4.533333333333333
Duemani Cabernet Franc,4.4,2339,0,4.5
Duna Mirante Primitivo di Manduria,4.5,96,0,0.0
EABA,4.6,151,0,0.0
Echezeaux Grand Cru,4.3,338,0,2.3
Eight Years In The Desert,4.4,27195,0,4.4
El Carretil,4.5,748,0,2.3
El Escolladero,4.4,161,0,0.0
Elevage Branco,4.5,53,0,0.0
Ermitage Ex-Voto,4.4,1804,0,3.0
Ermitage l'Ermite Blanc,4.5,296,0,2.35
Es Riserva,4.5,371,0,0.0
Esporão Private Selection Tinto,4.3,12566,0,4.4
Estate Reserve Viognier,4.4,257,0,0.0
Eszencia,4.7,488,0,0.0
Evenstad Reserve Pinot Noir,4.4,11531,0,4.4
FAY Cabernet Sauvignon,4.5,10840,0,4.5
Faith,4.5,1048,0,0.0
Falletto Barbaresco Asili,4.4,3450,0,4.4
Falletto Barbaresco Rabaja,4.4,448,0,4.5
Falletto Barolo,4.4,1760,0,4.4
Falletto Barolo Le Rocche del Falletto,4.5,1883,0,4.566666666666666
Falletto Barolo Le Rocche del Falletto Riserva,4.6,622,0,3.3
Fanòi Primitivo,4.4,695,0,4.5
Ferro,4.5,499,0,4.5
Fieramonte Amarone della Valpolicella Riserva,4.7,315,0,2.35
Finca Altamira Malbec,4.5,8093,0,4.6
Finca Bella Vista Malbec,4.5,7663,0,4.5
Finca Garbet,4.6,573,0,4.5
Finn Pinot Noir,4.5,331,0,0.0
Fino La Barajuela,4.4,222,0,0.0
Flaccianello della Pieve,4.5,21518,0,4.4799999999999995
Fleur de Miraval Exclusivement Rosé Champagne,4.4,304,0,4.4
Flor de Pingus,4.5,32932,0,4.5
Fort Ross Seaview Home Field Pinot Noir,4.4,483,0,0.0
Fossati Barolo,4.5,116,0,0.0
Fratini Bolgheri Superiore,4.8,153,0,0.0
Freienfeld Cabernet Sauvignon Riserva,4.4,173,0,0.0
Fusion V,4.4,12877,0,4.5
Félix Callejo (Viñedos de la Familia),4.3,1341,0,4.5
Gabbro Toscana,4.4,921,0,4.5
Gaia & Rey Langhe,4.5,5909,0,4.6
Galatrona,4.3,7971,0,4.425000000000001
Gallina Barbaresco,4.4,1017,0,3.0
Gardarèm,4.4,1308,0,0.0
Gaudium,4.3,7414,0,4.4
Georges De Latour Private Reserve Cabernet Sauvignon,4.4,12652,0,4.5
Gevrey Chambertin 1er Cru 'Aux Combottes',4.4,1002,0,0.0
Gewürztraminer Lunare,4.3,2732,0,4.4
Giallo d'Arles Greco di Tufo,4.3,3274,0,4.4
Ginés Liébana Pedro Ximénez,4.6,120,0,2.3
Giorgio Bartholomäus,4.4,554,0,4.5
Giramonte Toscana,4.4,1678,0,4.4
Giunonico Riserva Primitivo di Manduria,4.4,460,0,0.0
Glesie Climat,4.6,37,0,0.0
Gold Series Syrah,4.4,477,0,0.0
Gorgona,4.4,592,0,4.5
Gorgona Rosso,4.5,119,0,0.0
Graacher Himmelreich Riesling Auslese 'Goldkapsel',4.6,119,0,0.0
Graal Amarone della Valpolicella Valpantena,4.4,328,0,0.0
Grace Vineyard Pinot Noir,4.5,385,0,0.0
Gran Buig Priorat,4.6,125,0,0.0
Gran Corte (VII),4.4,15016,0,4.5
Gran Enemigo,4.5,18739,0,4.5
