Wines,Reviews,Rating,Keywords_count
Romanée-Saint-Vivant Grand Cru (Marey-Monge),6597,4.7,1
Rubicon,6421,4.6,1
Rutherford,16322,4.6,2
S.L.V. Cabernet Sauvignon,6560,4.5,1
Saffredi,10499,4.4,1
Saint-Emilion Grand Cru (Premier Grand Cru Classé),1986,4.4,1
Saint-Estèphe (Grand Cru Classé),35624,4.3,3
Saint-Julien (Grand Cru Classé),29317,4.4,3
Saint-Émilion Grand Cru,5390,4.6,1
Saint-Émilion Grand Cru (Grand Cru Classé),3498,4.4,1
Saint-Émilion Grand Cru (Premier Grand Cru Classé),6637,4.6,2
San Vicente Rioja,10701,4.3,1
Saperavi,4745,4.4,1
Sassicaia,107646,4.6,2
Sauternes,44126,4.7,1
Sauternes (Premier Grand Cru Classé),19239,4.4,1
Scharzhofberger Riesling Kabinett,3047,4.4,1
Scrio,2322,4.3,1
Series C,3027,4.5,1
Series M,2995,4.4,1
Siepi,8129,4.4,1
Silex,8386,4.5,1
Sir Winston Churchill Brut Champagne,12873,4.6,2
Solare Toscana,4961,4.2,1
Sorì San Lorenzo,3857,4.6,1
Special Selection Cabernet Sauvignon,41236,4.7,1
Sperss Barolo,10950,4.6,1
St. Henri Shiraz,17326,4.4,1
TD9,6056,4.3,1
Tenuta Guado al Tasso Bolgheri Superiore,33392,4.5,1
Tenuta Nuova Brunello di Montalcino,20934,4.5,1
Tenuta Tignanello 'Solaia',33143,4.6,1
The Armagh Shiraz,2472,4.5,1
Tignanello,142513,4.5,4
Tinto,65625,4.4,1
Toro,60705,4.4,1
Torre Muga,8767,4.4,1
Toscana,16284,4.7,1
Toscana Camartina,3673,4.3,1
Toscana I Sodi di San Niccolo,8853,4.4,1
Toscana Rosso,2799,4.5,1
Trasnocho,3399,4.5,1
Trebbiano d'Abruzzo,5834,4.4,1
Turriga Isola dei Nuraghi,14641,4.4,1
Unico,45140,4.7,2
Unico Reserva Especial Edición,13025,4.7,1
V.P Extra Brut Champagne Grand Cru 'Ambonnay',2079,4.4,1
VIK,8493,4.6,1
Valbuena 5º,72784,4.6,2
Valdegines,2594,4.2,1
Valpolicella Classico Superiore,12262,4.5,1
Valpolicella Superiore Monte Lodoletta,13024,4.5,1
Vecchie Vigne Brunello di Montalcino,3868,4.3,1
Veneto Alzero Cabernet,2600,4.7,1
Veneto Rosso del Bepi,3747,4.6,1
Victorino,9294,4.3,1
Vigna Cappella di S. Stefano Perno Barolo,2514,4.4,1
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,3121,4.3,1
Vin Santo di Montepulciano,773,4.6,1
Vin Santo di Montepulciano Occhio di Pernice,1867,4.4,1
Vin de Constance (Natural Sweet),13210,4.6,1
Vintage,16918,4.6,2
Vintage Port,2614,4.5,1
Viña El Pison,3027,4.6,1
Vénus Blanc de Blancs Brut Nature Champagne Grand Cru 'Avize',794,4.4,1
Vürsù Barbaresco Starderi,4414,4.4,1
Vürsù Barolo Campè,6260,4.4,1
Yarden Katzrin,894,4.5,1
d'Alceo,3133,4.4,1
