wines_name,country,wines_rating_count,vintages_rating_avg,wines_rating_avg
Vürsù Barbaresco Starderi,Italie,13242,4.4,4.4
Vürsù Barbaresco Gallina,Italie,12786,4.4,4.4
Vittorio Moretti,Italie,2025,4.4,4.4
Vin Santo di Montepulciano Occhio di Pernice,Italie,7468,1.15,4.4
Vigneto Bellavista Chianti Classico,Italie,7010,3.62,4.4
Vigna Madonna Assunta La Villa Barolo Riserva,Italie,470,4.5,4.4
Vigna Colonnello Barolo Riserva Bussia,Italie,1914,4.5,4.4
Vigna Cappella di S. Stefano Perno Barolo,Italie,5028,4.4,4.4
Valmezzane Amarone della Valpolicella,Italie,1598,4.45,4.4
VT Vendemmia Tardiva,Italie,1096,0.0,4.4
Turriga Isola dei Nuraghi,Italie,14641,4.5,4.4
Triglia Negroamaro Rosato,Italie,278,4.7,4.4
Trebbiano d'Abruzzo,Italie,5974,2.2,4.4
Toscana I Sodi di San Niccolo,Italie,17706,4.4,4.4
Tenuta Montebello Picconero,Italie,2011,4.4,4.4
Siepi,Italie,40645,3.5200000000000005,4.4
Semel Pater,Italie,710,0.0,4.4
Saffredi,Italie,20998,4.4,4.4
Roccolo Ludwig Barth von Barthenau,Italie,310,0.0,4.4
Quarz Sauvignon,Italie,35536,4.425000000000001,4.4
Predappio Massera,Italie,644,0.0,4.4
Poggio Alle Nane Maremma Toscana,Italie,7018,4.4,4.4
Poggio Al Vento Brunello di Montalcino Riserva,Italie,4542,4.4,4.4
Pieve Santa Restituta Brunello di Montalcino,Italie,43734,4.4,4.4
Pegrandi Amarone della Valpolicella Classico,Italie,1833,4.6,4.4
Paralupi Appassimento,Italie,575,0.0,4.4
Paleo Rosso,Italie,21880,2.2,4.4
Palazzi Rosso Toscana,Italie,1922,0.0,4.4
Ornato Barolo,Italie,10938,4.5,4.4
Old Vines Primitivo di Manduria,Italie,20904,4.4,4.4
Mossone,Italie,892,0.0,4.4
Montefico Barbaresco Vecchie Viti,Italie,581,0.0,4.4
Lupicaia,Italie,22070,4.44,4.4
Luminaria Primitivo di Manduria,Italie,563,4.5,4.4
Luce,Italie,52410,4.4,4.4
Librante Primitivo di Manduria,Italie,491,0.0,4.4
Le Lucére Brunello di Montalcino Riserva,Italie,426,0.0,4.4
Lagrein Riserva Porphyr,Italie,15369,2.9333333333333336,4.4
La Serra Barolo,Italie,1449,0.0,4.4
L'Apparita,Italie,38360,4.07,4.4
Kairos,Italie,36820,3.56,4.4
Ipsus Chianti Classico Gran Selezione,Italie,185,4.5,4.4
Il Ritrovo,Italie,363,0.0,4.4
Il Bacca Old Vine Primitivo di Manduria,Italie,2933,4.4,4.4
Il 'Divasco' Riserva,Italie,765,0.0,4.4
Helichrysum Brunello di Montalcino,Italie,1370,0.0,4.4
Harimann Montepulciano d'Abruzzo,Italie,2172,0.0,4.4
Guglielmi di Jago Amarone della Valpolicella Classico,Italie,816,2.35,4.4
Guerriero della Terra,Italie,20370,4.4,4.4
Guerriero del Mare,Italie,3290,0.0,4.4
Graticciaia,Italie,2451,4.4,4.4
Graal Amarone della Valpolicella Valpantena,Italie,328,0.0,4.4
Gorgona,Italie,592,4.5,4.4
Giunonico Riserva Primitivo di Manduria,Italie,460,0.0,4.4
Giramonte Toscana,Italie,1678,4.4,4.4
Giorgio Bartholomäus,Italie,1108,4.5,4.4
Gallina Barbaresco,Italie,2253,3.0,4.4
Gabbro Toscana,Italie,1842,4.5,4.4
Freienfeld Cabernet Sauvignon Riserva,Italie,173,0.0,4.4
Fanòi Primitivo,Italie,695,4.5,4.4
Falletto Barolo,Italie,1760,4.4,4.4
Falletto Barbaresco Rabaja,Italie,448,4.5,4.4
Falletto Barbaresco Asili,Italie,3450,4.4,4.4
Duemani Cabernet Franc,Italie,2339,4.5,4.4
Cěrǎsum Riserva Amarone della Valpolicella,Italie,460,0.0,4.4
Colore Toscana,Italie,1415,4.4,4.4
Cinque Autoctoni Collection Limited Release,Italie,4281,4.4,4.4
Castello della Sala Cervaro della Sala,Italie,90609,4.433333333333334,4.4
Campo del Drago Brunello di Montalcino,Italie,2854,4.5,4.4
Campo dei Gigli Amarone della Valpolicella,Italie,5050,4.4,4.4
Campo León Amarone della Valpolicella,Italie,15556,4.4,4.4
Campo Alla Sughera,Italie,1776,4.45,4.4
Calle Merlot Rosso Veronese,Italie,1053,4.4,4.4
Cabernet Sauvignon,Italie,2408,0.0,4.4
Brunello di Montalcino  Montosoli,Italie,18528,4.433333333333334,4.4
Brunello di Montalcino,Italie,758498,4.105882352941177,4.427450980392157
Big'd Big Barolo,Italie,1148,0.0,4.4
Beyond the Clouds,Italie,4760,0.0,4.4
Barrosu Cannonau di Sardegna Riserva Franzisca,Italie,794,4.5,4.4
Barolo Rocche di Castiglione,Italie,1272,0.0,4.4
Barolo Rocche,Italie,8075,1.78,4.4
Barolo Riserva Leon,Italie,948,4.4,4.4
Barolo Monprivato,Italie,48762,4.514285714285714,4.4
Barolo Ginestra Casa Maté,Italie,4116,4.4,4.4
Barolo Enrico VI,Italie,9321,2.9333333333333336,4.4
Barolo Cannubi Boschis,Italie,4298,4.4,4.4
Barolo Bussia Vigna Munie,Italie,141,0.0,4.4
Barolo Bussia Cicala,Italie,6692,4.45,4.4
Barolo Bussia,Italie,9050,4.4,4.4
Barolo Bricco Rocche,Italie,14615,4.5,4.4
Barolo Bricco Gattera,Italie,2365,4.5,4.4
Barbaresco Asili,Italie,2130,0.0,4.4
Asili Barbaresco Vecchie Viti,Italie,668,0.0,4.4
Arborina Barolo,Italie,5054,2.25,4.4
Annunziata Barolo Riserva,Italie,138,4.5,4.4
Amarone della Valpolicella Vigna Garzon,Italie,4227,4.4,4.4
Amarone della Valpolicella Riserva,Italie,958,0.0,4.4
Amarone della Valpolicella Classico,Italie,339267,3.7277777777777783,4.411111111111111
Amarone della Valpolicella,Italie,21105,2.4555555555555557,4.388888888888889
Amarone Classico Monte Danieli,Italie,504,4.5,4.4
Altero Brunello di Montalcino,Italie,13860,4.466666666666667,4.4
Ai Suma Barbera d'Asti,Italie,3012,4.5,4.4
80 Vecchie Vigne Primitivo di Manduria Old Vines,Italie,2476,4.5,4.4
50 Old Vines Vecchie Vigne Negroamaro,Italie,510,4.4,4.4
50 & 50,Italie,27471,4.433333333333334,4.4
123 Brunello di Montalcino Riserva,Italie,525,0.0,4.4
110 e Lode Merlot,Italie,174,0.0,4.4
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,Italie,3121,4.5,4.3
Vigna Molsino,Italie,2269,4.5,4.3
Vecchie Vigne Brunello di Montalcino,Italie,3868,4.5,4.3
Toscana Il Pareto,Italie,3195,4.6,4.3
Toscana Camartina,Italie,3673,4.4,4.3
Toscana Batar,Italie,4187,4.4,4.3
Scrio,Italie,4644,4.45,4.3
Sassella Nuova Regina Riserva,Italie,987,4.4,4.3
Rocche di Castiglione Barolo,Italie,2528,4.45,4.4
Riserva Nova Domus Terlaner,Italie,5250,4.4,4.3
Ribolla Gialla,Italie,7018,4.4,4.3
Piovesole Amarone della Valpolicella Classico,Italie,868,4.5,4.3
Pietradonice,Italie,4532,4.45,4.3
Pian delle Vigne Brunello di Montalcino,Italie,62726,4.4,4.3
Percarlo,Italie,9616,4.45,4.3
Pajè Barbaresco,Italie,3820,4.45,4.3
Oreno Toscana,Italie,12407,4.4,4.3
Mongovone Barbera d'Asti Superiore,Italie,2771,4.4,4.3
Mille E Una Notte,Italie,15865,4.4,4.3
Maria Adelaide Barbaresco,Italie,501,4.5,4.3
Maggiarino Vino Nobile di Montepulciano,Italie,555,4.4,4.3
Le Serre Nuove,Italie,50411,4.4,4.3
Il Pino di Biserno,Italie,35132,4.4,4.3
Il Bricco Barbaresco,Italie,2299,4.4,4.3
Giallo d'Arles Greco di Tufo,Italie,3274,4.4,4.3
Gewürztraminer Lunare,Italie,2732,4.4,4.3
Galatrona,Italie,31884,4.425000000000001,4.3
Dagromis Barolo,Italie,20685,4.4,4.3
Cà Bertoldi Amarone della Valpolicella Classico,Italie,3708,4.5,4.3
Costasera Amarone della Valpolicella Classico,Italie,186794,4.4,4.3
